article_id,source_id,title,published,summary
A488,scmp_asia,"3 women charged over Hong Kong play-area brawl, police say grandmother was hit first",2026-08-27T10:39:34+00:00,"Three women have been charged after a brawl broke out in a children’s play area at a Hong Kong shopping centre. Police disclosed details of their investigation on Thursday, revealing they suspected th"
A489,scmp_asia,"Hong Kong to launch free AI courses with tech giants Google, Microsoft for SMEs",2026-08-27T10:36:49+00:00,"Free courses coordinated by the Hong Kong government will leverage the expertise of tech giants such as Google and Microsoft to help boost the adoption of AI by businesses for content creation, data a"
A490,scmp_china,Could the China-Nepal disaster spur a safety rethink for a flagship rail project?,2026-08-28T10:00:08+00:00,"This week’s devastating floods on the China-Nepal border could be a catalyst for joint early-warning systems, particularly in relation to a proposed rail link between the countries. Rescuers were stil"
A491,scmp_china,"Xi-Trump summit plans, Nepal disaster, SCO summit",2026-08-28T09:00:14+00:00,"Chinese President Xi Jinping may take a business delegation to Washington next month, when he is also likely to sign a trade-war truce extension with US President Donald Trump. The potential business "
A492,scmp_china,"Bangladesh confirms Chinese J-10CE jet deal, citing Rafale kill in India-Pakistan clash",2026-08-28T09:00:12+00:00,"Bangladesh has for the first time confirmed a long-expected deal to purchase China’s 4.5-generation J-10CE fighters, pointing to the jet’s combat performance against Rafale fighters in last year’s Ind"
A493,scmp_china,China pledges to send urgent emergency aid to Nepal after deadly landslide,2026-08-28T08:30:23+00:00,Beijing promised to send emergency aid to Nepal on Friday as Chinese rescuers continued to fight their way through hazardous conditions in an effort to reach the border checkpoint hit by deadly flash 
A494,scmp_china,Truce in DR Congo offers US mining foothold while Chinese firms dominate output,2026-08-28T08:00:10+00:00,A peace plan agreed between the Democratic Republic of Congo and the Rwanda-backed M23 movement last weekend could open the rebel-held Rubaya coltan deposit and other parts of mineral-rich eastern Con
A495,scmp_china,Will Australia be locked out of top scientific research by shunning Chinese universities?,2026-08-28T06:00:09+00:00,Australia’s decision to axe partnerships with two Chinese universities has raised concerns that Canberra is moving to align with Washington on research security policy. The decision came after the Uni
A496,scmp_china,Storm travel chaos as Typhoon Saudel makes double landfall in China,2026-08-28T05:15:41+00:00,"Typhoon Saudel made landfall in the eastern Chinese province of Zhejiang on Friday morning, disrupting flights and ferry services across major urban centres, including the industrial hub of Ningbo and"
A497,scmp_china,How typhoons and extreme weather could undermine Taiwan Strait combat readiness,2026-08-28T04:00:14+00:00,The record heat and extreme weather seen across East Asia this summer have prompted warnings that climate change will be an increasing challenge for military planners focused on potential flashpoints 
A498,scmp_china,"China-Nepal floods: debris lake the size of 1,000 Olympic pools in breach danger",2026-08-28T03:51:41+00:00,"The death toll from catastrophic flash floods and mudslides at the Gyirong Port border crossing between China and Nepal continued to rise on Friday, as concerns grew that a lake formed from the debris"
A499,scmp_china,China thinks big on brain-computer interfaces after world-first surgery,2026-08-28T03:17:36+00:00,"Chinese surgeons last month completed the world’s first commercial surgery to implant an invasive brain-computer interface (BCI) device in a patient with a spinal cord injury, a milestone in the neuro"
A500,scmp_china,Iran expert on China’s balancing act amid conflict with US and Israel,2026-08-28T03:15:07+00:00,"Trita Parsi is co-founder and executive vice-president of the Quincy Institute, a Washington-based think tank. He is an expert on US-Iranian relations, Iranian foreign policy and the geopolitics of th"
A501,scmp_china,Xi’s crusade against corruption has gone well beyond economic crime,2026-08-28T02:00:14+00:00,"The South China Morning Post has launched a major data project diving into President Xi Jinping’s signature anti-graft campaign. In the fourth part of an accompanying series, Yuanyue Dang and William "
A502,scmp_china,The path to America is narrowing. Here’s what that means for legal immigrants,2026-08-28T01:00:08+00:00,"US green card interviews are on hold worldwide, student and work visas are subject to new restrictions, and citizenship is under fresh scrutiny. Here’s what the latest US immigration crackdown means f"
