article_id,source_id,title,published,summary
A492,scmp_asia,Hong Kong to bar firms with integrity offences from building renovation lists,2026-09-22T12:17:59+00:00,Hong Kong building maintenance consultants and contractors prosecuted or convicted of integrity-related offences in the past three years will be excluded from pre-qualified lists set up for owners und
A493,scmp_asia,Hong Kong bans caterer from importing workers for year over local hiring breach,2026-09-22T10:33:10+00:00,Hong Kong’s Labour Department has terminated Kwai Chung-based catering firm Happy Up Corporation’s application to import workers after it failed to meet the required local hiring ratio. The company ha
A494,scmp_china,Elon Musk hails Xi Jinping’s leadership and Chinese AI capabilities on state media,2026-09-23T10:04:41+00:00,"Tesla CEO Elon Musk described Chinese President Xi Jinping as “a great leader” and “very capable” during an interview with China’s state broadcaster on Wednesday, hours before Xi left China for a summ"
A495,scmp_china,China CEOs to likely miss Xi’s US trip amid thin summit expectations,2026-09-23T09:26:59+00:00,China will probably decide against inviting business leaders to join President Xi Jinping on his trip to the United States this week as the two countries struggle to reach investment agreements. A lac
A496,scmp_china,China puts industry minister in charge of key semiconductor hub Anhui province,2026-09-23T09:14:03+00:00,"China’s industry minister is set to lead Anhui province, a key semiconductor hub, in the latest personnel reshuffle within the Communist Party. Li Lecheng, 61, has served as minister of industry and i"
A497,scmp_china,China’s first lady Peng Liyuan projects glamour and soft power on world stage,2026-09-23T09:02:32+00:00,China’s first lady Peng Liyuan is again stepping into the international limelight as she travels to Washington with President Xi Jinping this week. Xi and Peng were invited to visit the White House by
A498,scmp_china,"PLA chiefs’ downfall eliminated ‘political danger’, military mouthpiece says",2026-09-23T08:01:05+00:00,"The expulsion of two former leaders from the Chinese armed forces and Communist Party “eliminated a major hidden political danger”, China’s military mouthpiece said on Wednesday. The party expelled Zh"
A499,scmp_china,"China’s stealth fighters, critical minerals from lithium waste: 7 science highlights",2026-09-23T06:30:05+00:00,"We have put together stories from our coverage on science from the past two weeks to help you stay informed. If you would like to see more of our reporting, please consider subscribing. 1. J-50 design"
A500,scmp_china,Did North Korea’s missile launches target the Xi-Trump summit agenda?,2026-09-23T05:00:06+00:00,North Korea could be using missile tests to take its denuclearisation off the US-China summit agenda and drive home its demands for recognition as a nuclear power as a prerequisite for talks with Wash
A501,scmp_china,How does Xi Jinping’s ‘special plane’ compare with Air Force One?,2026-09-23T03:00:11+00:00,"With Chinese President Xi Jinping expected in Washington this week, attention is turning to the aircraft that will carry him and how it stacks up against America’s presidential plane. The aircraft car"
A502,scmp_china,Fissures over US investments stall plans for Chinese business leaders to join Xi visit,2026-09-23T01:40:13+00:00,Differences between Washington and Beijing over potential investment announcements have created roadblocks for a Chinese business delegation expected to accompany President Xi Jinping on his state vis
A503,scmp_china,China launches its first commercial radio-tracking satellites in electronic warfare leap,2026-09-23T01:30:08+00:00,"China has just taken a quiet but critical step in space-based electronic warfare. A Lijian-1 Y18 rocket lifted off from the Jiuquan Satellite Launch Centre in northern China at noon on Sunday, carryin"
A504,scmp_china,China’s cancer breakthrough on CAR-T cell therapy shows progress,2026-09-23T00:45:04+00:00,"In June, Chinese regulators approved the world’s first CAR-T cell therapy for solid tumour cancers, developed by a drug company based in Shanghai. One month later, at a hospital in the city, a New Zea"
A505,scmp_china,Can Xi and Trump use their leverage to actually make progress?,2026-09-22T22:00:06+00:00,"When the presidents of the United States and China meet in Washington, the world will be watching to see whether their two countries can make good on their agreement to work towards “constructive stra"
A506,scmp_china,US law enforcement tightens security for Xi summit as welcome and protest events planned,2026-09-22T20:46:26+00:00,"Ahead of Chinese President Xi Jinping’s state visit to Washington, starting on Wednesday, US law enforcement agencies have increased security as Chinese diaspora groups organise welcoming events and p"
A507,scmp_china,Trump praises Takaichi for doing ‘tremendous job’ ahead of Xi’s visit to US,2026-09-22T19:31:34+00:00,"US President Donald Trump praised his strong relationship with Japanese Prime Minister Sanae Takaichi in New York on Tuesday, days before he is due to meet with Chinese President Xi Jinping. The talks"
A508,scmp_china,"Brazil’s Lula backs China peace push at UN, tells US his nation is ‘no one’s backyard’",2026-09-22T17:54:35+00:00,"Brazilian President Luiz Inacio Lula da Silva renewed his backing on Tuesday for a peace initiative he launched with China to end the war in Ukraine, using his opening speech at the UN General Assembl"
A509,scmp_china,"Trump defends Iran war, touts ‘America is back’ agenda in UN speech",2026-09-22T15:06:37+00:00,"US President Donald Trump addressed the global community on Tuesday morning with a speech that sought to justify his war with Iran, touted how he has “made peace” and argued that his “make America gre"
A510,scmp_china,"Learning from Ukraine war, Chinese military doctors target injuries from drones",2026-09-22T15:00:05+00:00,"China’s military medical experts are making progress in finding cures for common injuries seen in drone warfare, drawing on lessons from the wars in Ukraine and the Middle East, according to state bro"
A511,scmp_china,China names new Tibet party chief as Communist Party reshuffles regional leadership,2026-09-22T14:37:12+00:00,"Beijing has appointed a new party chief in Tibet as the Communist Party shuffles regional leaders ahead of its 21st national congress. Hu Changsheng, 62, will serve as the party secretary of Tibet aut"
A512,scmp_china,Taiwan coastguard’s rare missile firing reveals deepening links with navy,2026-09-22T13:00:11+00:00,"Taiwan’s coastguard fired a supersonic anti-ship missile during a military exercise last week, an unusual move by a civilian law enforcement agency that analysts say could be aimed at complicating pot"
A513,scmp_china,Xi and Trump face their greatest challenge yet: building US-China trust,2026-09-22T12:30:06+00:00,Chinese President Xi Jinping’s visit to the White House is not just another ceremonial exchange. It is a test of whether the world’s two largest powers can build trust in an age where mistrust has bec
A514,scmp_china,Taiwan’s opposition casts doubt on ‘rock solid’ US ties ahead of Xi-Trump summit,2026-09-22T11:30:05+00:00,Reports that Taiwanese officials have been asked to scale back visits to Washington have sparked debate over whether the island’s ties with the United States remain as “rock solid” as Taipei has maint
A515,scmp_china,Who from China’s side will be in the room at this week’s Xi-Trump summit?,2026-09-22T11:00:12+00:00,"When Xi Jinping sits down with US President Donald Trump in Washington on Thursday, the Chinese leader’s side of the table will be filled with senior aides bringing extensive policy expertise. China’s"
A516,scmp_world,"South Africa mass shooting leaves 11 dead, 3 wounded",2026-09-23T08:51:02+00:00,"Three shooters killed at least 11 people including a woman who was believed to be pregnant in an attack at a house party in South Africa, police said on Wednesday. Three others were wounded in the mas"
A517,scmp_world,Chinese EV battery giant CATL starts trial production at Hungarian factory,2026-09-23T06:00:04+00:00,"Contemporary Amperex Technol­ogy Ltd (CATL) has cleared all regulatory hurdles for its mega factory in Hungary, a development that analysts expect will help the world’s largest producer of electric ve"
A518,scmp_world,Exiled opposition leader tries to enter Venezuela as Rodriguez meets Trump in US,2026-09-23T04:45:11+00:00,"Venezuelan opposition leader Maria Corina Machado made three attempts over a 24-hour span to return home, but was unable to complete the journey. Machado sought to travel from Panama to Venezuela by d"
